Property Id,Property Name,Address 1,City,Postal Code,Province,Primary Property Type - Self Selected,Number of Buildings,Year Built,Property GFA - Self-Reported (m²),ENERGY STAR Score,Site Energy Use (GJ),Weather Normalized Site Energy Use (GJ),Site EUI (GJ/m²),Weather Normalized Site EUI (GJ/m²),Source Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Source EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/m²),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/m²),Electricity Use - Grid Purchase (kWh),Natural Gas Use (GJ),District Hot Water Use (GJ),Electricity Use – Generated from Onsite Renewable Systems (kWh),Green Power - Onsite and Offsite (kWh),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Year Ending,Unique ID
10176804,Acadia Aquatic & Fitness Centre,9009 Fairmount Dr SE,Calgary,T2H 0Z4,Alberta,Heated Swimming Pool,1,2010,1838,,6780,7554,3.69,4.11,8209,9029,4.47,4.91,509,276.7,280,152.4,368616,5453,,,368616,171,2023,2023-10176804
6169481,Ad Valorem,2924 11 ST NE,Calgary,t2e7l7,Alberta,Office,1,1981,7770,32,8656,9266,1.11,1.19,12202,12761,1.57,1.64,920,118.4,243,31.2,1091854,4725,,,1091854,508,2023,2023-6169481
6305956,Alberta Trade Centre,315 10 AV SE,Calgary,T2G 0W2,Alberta,Office,1,1974,6681,80,4014,4364,0.60,0.65,6254,6707,0.94,1,499,74.6,0,0.0,508589,3,2180,,508589,236,2023,2023-6305956
8854296,Andrew Davison,133 6 AV SE,Calgary,T2G0G2,Alberta,Office,1,1979,17468,84,11237,12229,0.64,0.70,16882,18157,0.97,1.04,1293,74.0,26,1.5,1152308,506,6582,,1152308,536,2023,2023-8854296
21988603,Animal Services Centre,2201 PORTLAND ST SE,Calgary,T2G 4M7,Alberta,Office,1,2000,2143,1,6757,7366,3.15,3.44,8572,9154,4.00,4.27,568,265.2,253,118.1,508594,4926,,,508594,236,2023,2023-21988603
21988595,Apparatus Repair Shop and Spare Apparatus Shop,1725 18 AV NE,Calgary,T2N 2H8,Alberta,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2,2011,6632,,5656,6171,0.85,0.93,7671,8217,1.16,1.24,554,83.5,179,26.9,604506,3480,,,604506,281,2023,2023-21988595
10417704,Beltline Aquatic & Fitness Centre,221 12 Av SW,Calgary,T2R 0G9,Alberta,Fitness Center/Health Club/Gym,1,1988,1807,,2924,3199,1.62,1.77,3601,3892,1.99,2.15,229,126.6,117,64.6,180718,2274,,,180718,84,2023,2023-10417704
9481172,Bob Bohan Aquatic and Fitness Centre,4812 14 Av SE,Calgary,T2AoK9,Alberta,Heated Swimming Pool,1,1976,1641,,8065,8545,4.91,5.21,10205,10713,6.22,6.53,674,410.7,304,185.0,597416,5914,,,597416,278,2023,2023-9481172
10439156,Bowmont Civic Building,5000 Bowness Civic Building,Calgary,T3B 0B9,Alberta,Office,1,1974,832,61,693,785,0.83,0.94,909,1007,1.09,1.21,63,75.7,24,28.8,62980,466,,,62980,29,2023,2023-10439156
8854297,Calgary Public Building,205 8 AV SE,Calgary,T2G0K7,Alberta,Office,1,1931,15195,,7809,8132,0.51,0.54,10697,11013,0.70,0.72,781,51.4,240,15.8,873097,4666,,,873097,406,2023,2023-8854297
